# beta	delta
-7.905444670652534978e-01 -2.234735637949703257e-01
-7.903267893216416873e-01 -2.233994723478076039e-01
-7.901090651786865093e-01 -2.233253898738017384e-01
-7.898912947061974554e-01 -2.232513163713228665e-01
-7.896734779739350563e-01 -2.231772518387412640e-01
-7.894556150516096604e-01 -2.231031962744276786e-01
-7.892377060088824337e-01 -2.230291496767534132e-01
-7.890197509153648037e-01 -2.229551120440900203e-01
-7.888017498406179051e-01 -2.228810833748093856e-01
-7.885837028541550220e-01 -2.228070636672840055e-01
-7.883656100254384791e-01 -2.227330529198865150e-01
-7.881474714238819734e-01 -2.226590511309902154e-01
-7.879292871188500191e-01 -2.225850582989685467e-01
-7.877110571796566152e-01 -2.225110744221954207e-01
-7.874927816755677989e-01 -2.224370994990452766e-01
-7.872744606758003139e-01 -2.223631335278928589e-01
-7.870560942495206103e-01 -2.222891765071131065e-01
-7.868376824658473989e-01 -2.222152284350817630e-01
-7.866192253938496526e-01 -2.221412893101746278e-01
-7.864007231025469391e-01 -2.220673591307679440e-01
-7.861821756609107537e-01 -2.219934378952385101e-01
-7.859635831378629645e-01 -2.219195256019634299e-01
-7.857449456022763679e-01 -2.218456222493200569e-01
-7.855262631229762427e-01 -2.217717278356864108e-01
-7.853075357687372415e-01 -2.216978423594405945e-01
-7.850887636082866106e-01 -2.216239658189614603e-01
-7.848699467103024130e-01 -2.215500982126279161e-01
-7.846510851434135292e-01 -2.214762395388193972e-01
-7.844321789762013220e-01 -2.214023897959158937e-01
-7.842132282771979712e-01 -2.213285489822975072e-01
-7.839942331148864740e-01 -2.212547170963447829e-01
-7.837751935577029760e-01 -2.211808941364389047e-01
-7.835561096740336628e-01 -2.211070801009611675e-01
-7.833369815322164254e-01 -2.210332749882933379e-01
-7.831178092005419700e-01 -2.209594787968177099e-01
-7.828985927472517092e-01 -2.208856915249168273e-01
-7.826793322405387610e-01 -2.208119131709735117e-01
-7.824600277485487254e-01 -2.207381437333713059e-01
-7.822406793393779090e-01 -2.206643832104937808e-01
-7.820212870810756556e-01 -2.205906316007252843e-01
-7.818018510416430145e-01 -2.205168889024502199e-01
-7.815823712890317410e-01 -2.204431551140534629e-01
-7.813628478911469610e-01 -2.203694302339204436e-01
-7.811432809158455060e-01 -2.202957142604367868e-01
-7.809236704309355792e-01 -2.202220071919885058e-01
-7.807040165041790880e-01 -2.201483090269622522e-01
-7.804843192032880905e-01 -2.200746197637448165e-01
-7.802645785959279046e-01 -2.200009394007233499e-01
-7.800447947497164414e-01 -2.199272679362856975e-01
-7.798249677322229845e-01 -2.198536053688196767e-01
-7.796050976109702990e-01 -2.197799516967139100e-01
-7.793851844534320783e-01 -2.197063069183571582e-01
-7.791652283270357193e-01 -2.196326710321385156e-01
-7.789452292991603244e-01 -2.195590440364477702e-01
-7.787251874371374782e-01 -2.194854259296747656e-01
-7.785051028082519142e-01 -2.194118167102098449e-01
-7.782849754797404040e-01 -2.193382163764438786e-01
-7.780648055187925349e-01 -2.192646249267679592e-01
-7.778445929925500435e-01 -2.191910423595735680e-01
-7.776243379681085921e-01 -2.191174686732527688e-01
-7.774040405125156594e-01 -2.190439038661978199e-01
-7.771837006927709846e-01 -2.189703479368012851e-01
-7.769633185758284544e-01 -2.188968008834564494e-01
-7.767428942285939941e-01 -2.188232627045566259e-01
-7.765224277179266776e-01 -2.187497333984958214e-01
-7.763019191106382833e-01 -2.186762129636682650e-01
-7.760813684734938489e-01 -2.186027013984684353e-01
-7.758607758732114501e-01 -2.185291987012916159e-01
-7.756401413764621999e-01 -2.184557048705330351e-01
-7.754194650498696939e-01 -2.183822199045884760e-01
-7.751987469600116754e-01 -2.183087438018542770e-01
-7.749779871734185921e-01 -2.182352765607269429e-01
-7.747571857565740405e-01 -2.181618181796033396e-01
-7.745363427759149877e-01 -2.180883686568809987e-01
-7.743154582978317713e-01 -2.180149279909575077e-01
-7.740945323886677665e-01 -2.179414961802309814e-01
-7.738735651147199412e-01 -2.178680732231000616e-01
-7.736525565422390782e-01 -2.177946591179634739e-01
-7.734315067374287755e-01 -2.177212538632206928e-01
-7.732104157664466682e-01 -2.176478574572712765e-01
-7.729892836954028734e-01 -2.175744698985151715e-01
-7.727681105903630998e-01 -2.175010911853529905e-01
-7.725468965173448721e-01 -2.174277213161854849e-01
-7.723256415423191967e-01 -2.173543602894137949e-01
-7.721043457312130043e-01 -2.172810081034396990e-01
-7.718830091499043755e-01 -2.172076647566650309e-01
-7.716616318642265382e-01 -2.171343302474921244e-01
-7.714402139399664238e-01 -2.170610045743238126e-01
-7.712187554428647784e-01 -2.169876877355632339e-01
-7.709972564386156080e-01 -2.169143797296137766e-01
-7.707757169928677321e-01 -2.168410805548795783e-01
-7.705541371712233412e-01 -2.167677902097646658e-01
-7.703325170392392174e-01 -2.166945086926739539e-01
-7.701108566624252916e-01 -2.166212360020123295e-01
-7.698891561062461975e-01 -2.165479721361852350e-01
-7.696674154361208275e-01 -2.164747170935986120e-01
-7.694456347174217781e-01 -2.164014708726586245e-01
-7.692238140154760151e-01 -2.163282334717717414e-01
-7.690019533955647635e-01 -2.162550048893451538e-01
-7.687800529229232849e-01 -2.161817851237860799e-01
-7.685581126627414328e-01 -2.161085741735022103e-01
-7.683361326801636526e-01 -2.160353720369018182e-01
-7.681141130402878714e-01 -2.159621787123933989e-01
-7.678920538081669411e-01 -2.158889941983856697e-01
-7.676699550488087498e-01 -2.158158184932881529e-01
-7.674478168271744449e-01 -2.157426515955102597e-01
-7.672256392081809873e-01 -2.156694935034622340e-01
-7.670034222566991522e-01 -2.155963442155544307e-01
-7.667811660375535299e-01 -2.155232037301975934e-01
-7.665588706155253007e-01 -2.154500720458030483e-01
-7.663365360553490158e-01 -2.153769491607822884e-01
-7.661141624217135959e-01 -2.153038350735471673e-01
-7.658917497792638862e-01 -2.152307297825101773e-01
-7.656692981925985464e-01 -2.151576332860840046e-01
-7.654468077262711612e-01 -2.150845455826816410e-01
-7.652242784447912394e-01 -2.150114666707167443e-01
-7.650017104126215495e-01 -2.149383965486030834e-01
-7.647791036941806730e-01 -2.148653352147548157e-01
-7.645564583538422276e-01 -2.147922826675867092e-01
-7.643337744559342006e-01 -2.147192389055136708e-01
-7.641110520647405036e-01 -2.146462039269511901e-01
-7.638882912444995288e-01 -2.145731777303150067e-01
-7.636654920594044826e-01 -2.145001603140211655e-01
-7.634426545736044956e-01 -2.144271516764863494e-01
-7.632197788512032899e-01 -2.143541518161274084e-01
-7.629968649562595129e-01 -2.142811607313615530e-01
-7.627739129527882911e-01 -2.142081784206065764e-01
-7.625509229047588988e-01 -2.141352048822805498e-01
-7.623278948760957574e-01 -2.140622401148017384e-01
-7.621048289306796564e-01 -2.139892841165891568e-01
-7.618817251323458661e-01 -2.139163368860618197e-01
-7.616585835448855812e-01 -2.138433984216394357e-01
-7.614354042320453653e-01 -2.137704687217419353e-01
-7.612121872575267068e-01 -2.136975477847895544e-01
-7.609889326849876845e-01 -2.136246356092031673e-01
-7.607656405780408582e-01 -2.135517321934037871e-01
-7.605423110002548226e-01 -2.134788375358128154e-01
-7.603189440151540968e-01 -2.134059516348522090e-01
-7.600955396862181246e-01 -2.133330744889441466e-01
-7.598720980768823852e-01 -2.132602060965111956e-01
-7.596486192505383928e-01 -2.131873464559765063e-01
-7.594251032705334747e-01 -2.131144955657633122e-01
-7.592015502001697724e-01 -2.130416534242952908e-01
-7.589779601027062395e-01 -2.129688200299967582e-01
-7.587543330413568654e-01 -2.128959953812920303e-01
-7.585306690792930073e-01 -2.128231794766061447e-01
-7.583069682796400590e-01 -2.127503723143643333e-01
-7.580832307054801156e-01 -2.126775738929921056e-01
-7.578594564198519734e-01 -2.126047842109156649e-01
-7.576356454857496869e-01 -2.125320032665612702e-01
-7.574117979661231237e-01 -2.124592310583556520e-01
-7.571879139238792966e-01 -2.123864675847261241e-01
-7.569639934218800326e-01 -2.123137128441001387e-01
-7.567400365229439707e-01 -2.122409668349055090e-01
-7.565160432898467846e-01 -2.121682295555706865e-01
-7.562920137853186286e-01 -2.120955010045242062e-01
-7.560679480720466916e-01 -2.120227811801950746e-01
-7.558438462126754187e-01 -2.119500700810128258e-01
-7.556197082698036249e-01 -2.118773677054071325e-01
-7.553955343059884919e-01 -2.118046740518083060e-01
-7.551713243837421263e-01 -2.117319891186467962e-01
-7.549470785655332250e-01 -2.116593129043534416e-01
-7.547227969137879633e-01 -2.115866454073596914e-01
-7.544984794908878856e-01 -2.115139866260971335e-01
-7.542741263591710155e-01 -2.114413365589977722e-01
-7.540497375809331881e-01 -2.113686952044941947e-01
-7.538253132184250527e-01 -2.112960625610190990e-01
-7.536008533338555138e-01 -2.112234386270055719e-01
-7.533763579893888451e-01 -2.111508234008873108e-01
-7.531518272471470210e-01 -2.110782168810982073e-01
-7.529272611692078288e-01 -2.110056190660724584e-01
-7.527026598176062011e-01 -2.109330299542449272e-01
-7.524780232543336611e-01 -2.108604495440504767e-01
-7.522533515413389882e-01 -2.107878778339247194e-01
-7.520286447405273300e-01 -2.107153148223033512e-01
-7.518039029137604246e-01 -2.106427605076225118e-01
-7.515791261228580433e-01 -2.105702148883188407e-01
-7.513543144295955489e-01 -2.104976779628293104e-01
-7.511294678957058935e-01 -2.104251497295910323e-01
-7.509045865828791744e-01 -2.103526301870418946e-01
-7.506796705527624125e-01 -2.102801193336198138e-01
-7.504547198669587749e-01 -2.102076171677632332e-01
-7.502297345870302392e-01 -2.101351236879110129e-01
-7.500047147744941523e-01 -2.100626388925023458e-01
-7.497796604908261164e-01 -2.099901627799766191e-01
-7.495545717974585465e-01 -2.099176953487739417e-01
-7.493294487557806693e-01 -2.098452365973344780e-01
-7.491042914271401898e-01 -2.097727865240990031e-01
-7.488790998728404036e-01 -2.097003451275084862e-01
-7.486538741541429731e-01 -2.096279124060043408e-01
-7.484286143322667062e-01 -2.095554883580284522e-01
-7.482033204683876670e-01 -2.094830729820228998e-01
-7.479779926236388432e-01 -2.094106662764301796e-01
-7.477526308591119220e-01 -2.093382682396932870e-01
-7.475272352358545147e-01 -2.092658788702554951e-01
-7.473018058148723775e-01 -2.091934981665603543e-01
-7.470763426571294108e-01 -2.091211261270520538e-01
-7.468508458235455505e-01 -2.090487627501748380e-01
-7.466253153749998761e-01 -2.089764080343736452e-01
-7.463997513723282795e-01 -2.089040619780934971e-01
-7.461741538763240200e-01 -2.088317245797798594e-01
-7.459485229477382795e-01 -2.087593958378787806e-01
-7.457228586472803844e-01 -2.086870757508364482e-01
-7.454971610356162515e-01 -2.086147643170994104e-01
-7.452714301733711633e-01 -2.085424615351148536e-01
-7.450456661211266596e-01 -2.084701674033299923e-01
-7.448198689394224248e-01 -2.083978819201925681e-01
-7.445940386887568430e-01 -2.083256050841508222e-01
-7.443681754295852215e-01 -2.082533368936532181e-01
-7.441422792223211236e-01 -2.081810773471484965e-01
-7.439163501273357015e-01 -2.081088264430860368e-01
-7.436903882049583636e-01 -2.080365841799153015e-01
-7.434643935154768846e-01 -2.079643505560863914e-01
-7.432383661191361846e-01 -2.078921255700496296e-01
-7.430123060761396614e-01 -2.078199092202555887e-01
-7.427862134466487465e-01 -2.077477015051555909e-01
-7.425600882907833489e-01 -2.076755024232009583e-01
-7.423339306686203010e-01 -2.076033119728434295e-01
-7.421077406401961341e-01 -2.075311301525353536e-01
-7.418815182655046359e-01 -2.074589569607292461e-01
-7.416552636044974056e-01 -2.073867923958779558e-01
-7.414289767170855194e-01 -2.073146364564349975e-01
-7.412026576631374208e-01 -2.072424891408538861e-01
-7.409763065024798090e-01 -2.071703504475886082e-01
-7.407499232948984158e-01 -2.070982203750937334e-01
-7.405235081001363406e-01 -2.070260989218239145e-01
-7.402970609778960487e-01 -2.069539860862344427e-01
-7.400705819878374836e-01 -2.068818818667808035e-01
-7.398440711895795108e-01 -2.068097862619187322e-01
-7.396175286426998063e-01 -2.067376992701047411e-01
-7.393909544067339690e-01 -2.066656208897952873e-01
-7.391643485411760750e-01 -2.065935511194473273e-01
-7.389377111054790115e-01 -2.065214899575184004e-01
-7.387110421590543652e-01 -2.064494374024661572e-01
-7.384843417612719785e-01 -2.063773934527486087e-01
-7.382576099714603934e-01 -2.063053581068244047e-01
-7.380308468489072959e-01 -2.062333313631522780e-01
-7.378040524528576283e-01 -2.061613132201913778e-01
-7.375772268425173639e-01 -2.060893036764014363e-01
-7.373503700770490665e-01 -2.060173027302422410e-01
-7.371234822155752209e-01 -2.059453103801742735e-01
-7.368965633171767893e-01 -2.058733266246581262e-01
-7.366696134408933228e-01 -2.058013514621547246e-01
-7.364426326457238492e-01 -2.057293848911256606e-01
-7.362156209906255411e-01 -2.056574269100326646e-01
-7.359885785345148257e-01 -2.055854775173378002e-01
-7.357615053362673851e-01 -2.055135367115037692e-01
-7.355344014547169351e-01 -2.054416044909933015e-01
-7.353072669486573343e-01 -2.053696808542696262e-01
-7.350801018768405859e-01 -2.052977657997964445e-01
-7.348529062979780591e-01 -2.052258593260377351e-01
-7.346256802707399336e-01 -2.051539614314577820e-01
-7.343984238537561993e-01 -2.050820721145213965e-01
-7.341711371056148794e-01 -2.050101913736935288e-01
-7.339438200848642513e-01 -2.049383192074397952e-01
-7.337164728500108479e-01 -2.048664556142258952e-01
-7.334890954595209012e-01 -2.047946005925179724e-01
-7.332616879718198977e-01 -2.047227541407826978e-01
-7.330342504452923569e-01 -2.046509162574869645e-01
-7.328067829382820531e-01 -2.045790869410978874e-01
-7.325792855090923483e-01 -2.045072661900833311e-01
-7.323517582159855266e-01 -2.044354540029111877e-01
-7.321242011171832376e-01 -2.043636503780497660e-01
-7.318966142708679401e-01 -2.042918553139679294e-01
-7.316689977351785723e-01 -2.042200688091347083e-01
-7.314413515682164357e-01 -2.041482908620196601e-01
-7.312136758280410875e-01 -2.040765214710925923e-01
-7.309859705726706736e-01 -2.040047606348235620e-01
-7.307582358600847039e-01 -2.039330083516832925e-01
-7.305304717482209442e-01 -2.038612646201426737e-01
-7.303026782949768592e-01 -2.037895294386729284e-01
-7.300748555582101673e-01 -2.037178028057458623e-01
-7.298470035957377311e-01 -2.036460847198333923e-01
-7.296191224653354457e-01 -2.035743751794078238e-01
-7.293912122247402374e-01 -2.035026741829420727e-01
-7.291632729316477324e-01 -2.034309817289091660e-01
-7.289353046437135886e-01 -2.033592978157825193e-01
-7.287073074185532739e-01 -2.032876224420361588e-01
-7.284792813137414003e-01 -2.032159556061440830e-01
-7.282512263868138325e-01 -2.031442973065810398e-01
-7.280231426952649132e-01 -2.030726475418218602e-01
-7.277950302965489060e-01 -2.030010063103417639e-01
-7.275668892480812167e-01 -2.029293736106165813e-01
-7.273387196072357286e-01 -2.028577494411222537e-01
-7.271105214313461351e-01 -2.027861338003350833e-01
-7.268822947777080490e-01 -2.027145266867319828e-01
-7.266540397035750054e-01 -2.026429280987899484e-01
-7.264257562661610157e-01 -2.025713380349864201e-01
-7.261974445226409003e-01 -2.024997564937993377e-01
-7.259691045301490675e-01 -2.024281834737068630e-01
-7.257407363457792915e-01 -2.023566189731874632e-01
-7.255123400265869327e-01 -2.022850629907202158e-01
-7.252839156295859402e-01 -2.022135155247842264e-01
-7.250554632117518494e-01 -2.021419765738593222e-01
-7.248269828300190065e-01 -2.020704461364254134e-01
-7.245984745412832329e-01 -2.019989242109627992e-01
-7.243699384023994936e-01 -2.019274107959524167e-01
-7.241413744701836741e-01 -2.018559058898752034e-01
-7.239127828014114696e-01 -2.017844094912125685e-01
-7.236841634528198286e-01 -2.017129215984464485e-01
-7.234555164811047323e-01 -2.016414422100589743e-01
-7.232268419429231932e-01 -2.015699713245326097e-01
-7.229981398948929217e-01 -2.014985089403504293e-01
-7.227694103935916603e-01 -2.014270550559955908e-01
-7.225406534955567395e-01 -2.013556096699515852e-01
-7.223118692572878530e-01 -2.012841727807025971e-01
-7.220830577352432833e-01 -2.012127443867328391e-01
-7.218542189858433433e-01 -2.011413244865271066e-01
-7.216253530654676007e-01 -2.010699130785704447e-01
-7.213964600304566543e-01 -2.009985101613481484e-01
-7.211675399371123563e-01 -2.009271157333461788e-01
-7.209385928416959244e-01 -2.008557297930505803e-01
-7.207096188004300519e-01 -2.007843523389477858e-01
-7.204806178694979080e-01 -2.007129833695248389e-01
-7.202515901050431379e-01 -2.006416228832688664e-01
-7.200225355631703072e-01 -2.005702708786673838e-01
-7.197934542999446794e-01 -2.004989273542084616e-01
-7.195643463713918830e-01 -2.004275923083803090e-01
-7.193352118334986889e-01 -2.003562657396715518e-01
-7.191060507422128989e-01 -2.002849476465713152e-01
-7.188768631534423470e-01 -2.002136380275688909e-01
-7.186476491230566754e-01 -2.001423368811541259e-01
-7.184184087068856694e-01 -2.000710442058170335e-01
-7.181891419607198124e-01 -1.999997600000480158e-01
-7.179598489403117290e-01 -1.999284842623379743e-01
-7.177305297013735208e-01 -1.998572169911780883e-01
-7.175011842995785427e-01 -1.997859581850597588e-01
-7.172718127905624019e-01 -1.997147078424750810e-01
-7.170424152299201825e-01 -1.996434659619161778e-01
-7.168129916732086659e-01 -1.995722325418755883e-01
-7.165835421759455537e-01 -1.995010075808464067e-01
-7.163540667936096895e-01 -1.994297910773218108e-01
-7.161245655816411704e-01 -1.993585830297956718e-01
-7.158950385954409024e-01 -1.992873834367619168e-01
-7.156654858903706007e-01 -1.992161922967148613e-01
-7.154359075217547881e-01 -1.991450096081494314e-01
-7.152063035448771311e-01 -1.990738353695606089e-01
-7.149766740149832156e-01 -1.990026695794438194e-01
-7.147470189872804358e-01 -1.989315122362950161e-01
-7.145173385169371061e-01 -1.988603633386103742e-01
-7.142876326590824609e-01 -1.987892228848862630e-01
-7.140579014688075432e-01 -1.987180908736198015e-01
-7.138281450011646490e-01 -1.986469673033080807e-01
-7.135983633111668833e-01 -1.985758521724486914e-01
-7.133685564537899371e-01 -1.985047454795397515e-01
-7.131387244839690887e-01 -1.984336472230794068e-01
-7.129088674566028683e-01 -1.983625574015665249e-01
-7.126789854265502822e-01 -1.982914760135000010e-01
-7.124490784486313677e-01 -1.982204030573791742e-01
-7.122191465776290809e-01 -1.981493385317039391e-01
-7.119891898682869646e-01 -1.980782824349743287e-01
-7.117592083753093712e-01 -1.980072347656907372e-01
-7.115292021533641265e-01 -1.979361955223541136e-01
-7.112991712570787550e-01 -1.978651647034655459e-01
-7.110691157410437002e-01 -1.977941423075264826e-01
-7.108390356598101034e-01 -1.977231283330389278e-01
-7.106089310678915805e-01 -1.976521227785050516e-01
-7.103788020197625563e-01 -1.975811256424274132e-01
-7.101486485698603746e-01 -1.975101369233090987e-01
-7.099184707725820775e-01 -1.974391566196531944e-01
-7.096882686822887365e-01 -1.973681847299635639e-01
-7.094580423533022318e-01 -1.972972212527440983e-01
-7.092277918399051417e-01 -1.972262661864991051e-01
-7.089975171963436296e-01 -1.971553195297334471e-01
-7.087672184768248895e-01 -1.970843812809521534e-01
-7.085368957355175912e-01 -1.970134514386605307e-01
-7.083065490265527675e-01 -1.969425300013645519e-01
-7.080761784040235929e-01 -1.968716169675702177e-01
-7.078457839219844949e-01 -1.968007123357839727e-01
-7.076153656344523757e-01 -1.967298161045128169e-01
-7.073849235954059456e-01 -1.966589282722638887e-01
-7.071544578587850571e-01 -1.965880488375446322e-01
-7.069239684784933697e-01 -1.965171777988631296e-01
-7.066934555083951297e-01 -1.964463151547274355e-01
-7.064629190023170580e-01 -1.963754609036463261e-01
-7.062323590140481278e-01 -1.963046150441287163e-01
-7.060017755973387876e-01 -1.962337775746838542e-01
-7.057711688059028488e-01 -1.961629484938215429e-01
-7.055405386934144873e-01 -1.960921278000517243e-01
-7.053098853135112423e-01 -1.960213154918847012e-01
-7.050792087197934599e-01 -1.959505115678313591e-01
-7.048485089658218516e-01 -1.958797160264026671e-01
-7.046177861051204916e-01 -1.958089288661100380e-01
-7.043870401911761503e-01 -1.957381500854654122e-01
-7.041562712774366295e-01 -1.956673796829808132e-01
-7.039254794173129826e-01 -1.955966176571686810e-01
-7.036946646641778491e-01 -1.955258640065419551e-01
-7.034638270713668984e-01 -1.954551187296137416e-01
-7.032329666921781630e-01 -1.953843818248977016e-01
-7.030020835798711509e-01 -1.953136532909077183e-01
-7.027711777876683996e-01 -1.952429331261578971e-01
-7.025402493687554761e-01 -1.951722213291630093e-01
-7.023092983762792008e-01 -1.951015178984379372e-01
-7.020783248633492013e-01 -1.950308228324978965e-01
-7.018473288830383572e-01 -1.949601361298587132e-01
-7.016163104883812451e-01 -1.948894577890363522e-01
-7.013852697323749164e-01 -1.948187878085470282e-01
-7.011542066679796736e-01 -1.947481261869076496e-01
-7.009231213481178502e-01 -1.946774729226351253e-01
-7.006920138256741426e-01 -1.946068280142468909e-01
-7.004608841534964991e-01 -1.945361914602607989e-01
-7.002297323843953425e-01 -1.944655632591948125e-01
-6.999985585711435698e-01 -1.943949434095675888e-01
-6.997673627664766638e-01 -1.943243319098978406e-01
-6.995361450230928035e-01 -1.942537287587046135e-01
-6.993049053936535309e-01 -1.941831339545076196e-01
-6.990736439307818628e-01 -1.941125474958266262e-01
-6.988423606870646232e-01 -1.940419693811817614e-01
-6.986110557150517764e-01 -1.939713996090937920e-01
-6.983797290672548730e-01 -1.939008381780835122e-01
-6.981483807961483823e-01 -1.938302850866721050e-01
-6.979170109541710243e-01 -1.937597403333813084e-01
-6.976856195937225502e-01 -1.936892039167329993e-01
-6.974542067671668510e-01 -1.936186758352495818e-01
-6.972227725268309584e-01 -1.935481560874537099e-01
-6.969913169250030460e-01 -1.934776446718682319e-01
-6.967598400139362047e-01 -1.934071415870167177e-01
-6.965283418458456666e-01 -1.933366468314227371e-01
-6.962968224729092492e-01 -1.932661604036103320e-01
-6.960652819472686881e-01 -1.931956823021040437e-01
-6.958337203210280819e-01 -1.931252125254285246e-01
-6.956021376462546701e-01 -1.930547510721088156e-01
-6.953705339749789438e-01 -1.929842979406705405e-01
-6.951389093591945345e-01 -1.929138531296393788e-01
-6.949072638508578814e-01 -1.928434166375414260e-01
-6.946755975018890084e-01 -1.927729884629033053e-01
-6.944439103641704136e-01 -1.927025686042517227e-01
-6.942122024895484023e-01 -1.926321570601140509e-01
-6.939804739298323089e-01 -1.925617538290177178e-01
-6.937487247367940535e-01 -1.924913589094905120e-01
-6.935169549621701401e-01 -1.924209723000608330e-01
-6.932851646576592142e-01 -1.923505939992571911e-01
-6.930533538749235056e-01 -1.922802240056084577e-01
-6.928215226655886072e-01 -1.922098623176440868e-01
-6.925896710812431412e-01 -1.921395089338935325e-01
-6.923577991734394255e-01 -1.920691638528867484e-01
-6.921259069936932518e-01 -1.919988270731541879e-01
-6.918939945934833302e-01 -1.919284985932264431e-01
-6.916620620242517337e-01 -1.918581784116344391e-01
-6.914301093374047857e-01 -1.917878665269097116e-01
-6.911981365843110625e-01 -1.917175629375837687e-01
-6.909661438163037239e-01 -1.916472676421888677e-01
-6.907341310846785154e-01 -1.915769806392572661e-01
-6.905020984406948781e-01 -1.915067019273216653e-01
-6.902700459355765039e-01 -1.914364315049152665e-01
-6.900379736205096703e-01 -1.913661693705715205e-01
-6.898058815466442395e-01 -1.912959155228240449e-01
-6.895737697650946574e-01 -1.912256699602071508e-01
-6.893416383269382886e-01 -1.911554326812552052e-01
-6.891094872832156382e-01 -1.910852036845029633e-01
-6.888773166849317953e-01 -1.910149829684857636e-01
-6.886451265830547674e-01 -1.909447705317390276e-01
-6.884129170285165911e-01 -1.908745663727985376e-01
-6.881806880722129982e-01 -1.908043704902006310e-01
-6.879484397650027505e-01 -1.907341828824816732e-01
-6.877161721577101927e-01 -1.906640035481787510e-01
-6.874838853011215889e-01 -1.905938324858289790e-01
-6.872515792459868988e-01 -1.905236696939699159e-01
-6.870192540430217765e-01 -1.904535151711396201e-01
-6.867869097429036840e-01 -1.903833689158762610e-01
-6.865545463962747785e-01 -1.903132309267183686e-01
-6.863221640537413570e-01 -1.902431012022050838e-01
-6.860897627658729681e-01 -1.901729797408755751e-01
-6.858573425832029669e-01 -1.901028665412694829e-01
-6.856249035562297367e-01 -1.900327616019269472e-01
-6.853924457354144684e-01 -1.899626649213881635e-01
-6.851599691711821594e-01 -1.898925764981937714e-01
-6.849274739139230572e-01 -1.898224963308849100e-01
-6.846949600139901060e-01 -1.897524244180028574e-01
-6.844624275217011666e-01 -1.896823607580893911e-01
-6.842298764873376848e-01 -1.896123053496865940e-01
-6.839973069611448020e-01 -1.895422581913366877e-01
-6.837647189933323544e-01 -1.894722192815826156e-01
-6.835321126340743181e-01 -1.894021886189673209e-01
-6.832994879335078098e-01 -1.893321662020342466e-01
-6.830668449417355292e-01 -1.892621520293272241e-01
-6.828341837088232058e-01 -1.891921460993903625e-01
-6.826015042848005976e-01 -1.891221484107679929e-01
-6.823688067196629348e-01 -1.890521589620050846e-01
-6.821360910633683661e-01 -1.889821777516465795e-01
-6.819033573658401792e-01 -1.889122047782381686e-01
-6.816706056769646915e-01 -1.888422400403255430e-01
-6.814378360465938034e-01 -1.887722835364548657e-01
-6.812050485245428888e-01 -1.887023352651727715e-01
-6.809722431605923498e-01 -1.886323952250260061e-01
-6.807394200044855070e-01 -1.885624634145616763e-01
-6.805065791059319302e-01 -1.884925398323274992e-01
-6.802737205146038857e-01 -1.884226244768712477e-01
-6.800408442801387787e-01 -1.883527173467411109e-01
-6.798079504521382654e-01 -1.882828184404857774e-01
-6.795750390801688079e-01 -1.882129277566540748e-01
-6.793421102137605638e-01 -1.881430452937951081e-01
-6.791091639024088300e-01 -1.880731710504587040e-01
-6.788762001955724878e-01 -1.880033050251945781e-01
-6.786432191426761129e-01 -1.879334472165531400e-01
-6.784102207931077544e-01 -1.878635976230849935e-01
-6.781772051962203784e-01 -1.877937562433409091e-01
-6.779441724013316461e-01 -1.877239230758724342e-01
-6.777111224577238024e-01 -1.876540981192310054e-01
-6.774780554146430100e-01 -1.875842813719686142e-01
-6.772449713213009037e-01 -1.875144728326376686e-01
-6.770118702268734800e-01 -1.874446724997907709e-01
-6.767787521805004314e-01 -1.873748803719808009e-01
-6.765456172312880323e-01 -1.873050964477612768e-01
-6.763124654283054760e-01 -1.872353207256857721e-01
-6.760792968205870945e-01 -1.871655532043082215e-01
-6.758461114571329142e-01 -1.870957938821831423e-01
-6.756129093869057689e-01 -1.870260427578650519e-01
-6.753796906588357407e-01 -1.869562998299091894e-01
-6.751464553218153863e-01 -1.868865650968707659e-01
-6.749132034247030676e-01 -1.868168385573054646e-01
-6.746799350163221742e-01 -1.867471202097694405e-01
-6.744466501454606799e-01 -1.866774100528190428e-01
-6.742133488608708092e-01 -1.866077080850109260e-01
-6.739800312112705916e-01 -1.865380143049023276e-01
-6.737466972453424185e-01 -1.864683287110505405e-01
-6.735133470117334875e-01 -1.863986513020132185e-01
-6.732799805590564679e-01 -1.863289820763485982e-01
-6.730465979358885020e-01 -1.862593210326150550e-01
-6.728131991907710940e-01 -1.861896681693712696e-01
-6.725797843722125524e-01 -1.861200234851765056e-01
-6.723463535286838821e-01 -1.860503869785899989e-01
-6.721129067086234476e-01 -1.859807586481717068e-01
-6.718794439604323099e-01 -1.859111384924816701e-01
-6.716459653324783341e-01 -1.858415265100802349e-01
-6.714124708730935254e-01 -1.857719226995283579e-01
-6.711789606305753608e-01 -1.857023270593871345e-01
-6.709454346531861235e-01 -1.856327395882178821e-01
-6.707118929891539016e-01 -1.855631602845826122e-01
-6.704783356866708122e-01 -1.854935891470433362e-01
-6.702447627938946662e-01 -1.854240261741625095e-01
-6.700111743589493019e-01 -1.853544713645030317e-01
-6.697775704299225863e-01 -1.852849247166280799e-01
-6.695439510548669704e-01 -1.852153862291009701e-01
-6.693103162818025975e-01 -1.851458559004857118e-01
-6.690766661587125297e-01 -1.850763337293463429e-01
-6.688430007335460781e-01 -1.850068197142474835e-01
-6.686093200542181370e-01 -1.849373138537538930e-01
