# Delta	Pbty
-1.764705882352941568e-01 1.000000000000000000e+00
-1.111111111111110772e-01 9.991999999999999771e-01
-8.695652173913046012e-02 9.903999999999999471e-01
-6.382978723404254817e-02 9.484000000000000208e-01
-5.263157894736841119e-02 9.162000000000000144e-01
-4.166666666666665048e-02 8.354000000000000314e-01
-2.564102564102566442e-02 7.124000000000000332e-01
-1.522842639593910072e-02 5.924000000000000377e-01
0.000000000000000000e+00 4.162000000000000144e-01
9.900990099009909784e-03 3.165999999999999925e-01
2.439024390243904952e-02 1.799999999999999933e-01
3.381642512077297213e-02 1.213999999999999940e-01
4.761904761904765804e-02 6.260000000000000286e-02
6.976744186046507368e-02 1.940000000000000058e-02
9.090909090909088386e-02 4.799999999999999580e-03
1.304347826086956763e-01 5.199999999999999761e-03
