# Time	a_winner	a_loosers
3.126700000000000035e-01 1.427326629461309171e+00 9.934014441047840371e-01
3.247900000000000231e-01 1.445199321964859340e+00 9.970538208402964786e-01
3.388999999999999790e-01 1.462909471350413826e+00 1.000924002040434857e+00
3.489399999999999724e-01 1.480797936470128251e+00 1.002845307177394618e+00
3.589600000000000013e-01 1.499049584721547035e+00 1.005875081149395056e+00
3.714999999999999969e-01 1.518797354534851429e+00 1.009690633260756032e+00
3.836100000000000065e-01 1.540453559259554961e+00 1.017953244004063729e+00
3.948699999999999988e-01 1.562677019055603855e+00 1.023249651938552995e+00
4.050099999999999811e-01 1.583608300551401227e+00 1.028832942002723128e+00
4.162299999999999889e-01 1.604779331493622063e+00 1.028875199369866600e+00
4.274299999999999766e-01 1.626766898146402962e+00 1.032783822487787440e+00
4.405999999999999917e-01 1.650051274272229085e+00 1.037776085006389293e+00
4.566999999999999948e-01 1.675004911707521860e+00 1.044631480843923876e+00
4.683999999999999830e-01 1.699343413488787702e+00 1.048778229851080823e+00
4.801000000000000267e-01 1.724637175253330934e+00 1.056768231140872150e+00
4.917799999999999949e-01 1.751040857549436947e+00 1.063656713433000167e+00
5.034499999999999531e-01 1.775685330173445875e+00 1.070690372644524047e+00
5.180299999999999905e-01 1.800710700877117931e+00 1.075789323107504636e+00
5.294200000000000017e-01 1.824852923887540390e+00 1.086528525464999229e+00
5.446600000000000330e-01 1.848753162144113338e+00 1.093514084417732679e+00
5.555799999999999628e-01 1.870774343925305061e+00 1.101075175443857246e+00
5.666900000000000270e-01 1.894045149240026760e+00 1.104363834875370820e+00
5.802399999999999780e-01 1.919282803534305248e+00 1.111705776399277701e+00
5.928099999999999481e-01 1.943602144485689909e+00 1.118432098997758528e+00
6.046200000000000463e-01 1.967682681054516713e+00 1.126489234352307856e+00
6.179799999999999738e-01 1.993901744502417639e+00 1.134466908317655953e+00
6.299000000000000155e-01 2.020926324462352319e+00 1.142265210112903384e+00
6.426300000000000345e-01 2.050251742606535199e+00 1.152582292429641386e+00
6.562799999999999745e-01 2.080518334332548847e+00 1.162367411900034231e+00
6.718100000000000183e-01 2.110132226004282519e+00 1.175791181320157586e+00
6.882899999999999574e-01 2.140702093885948010e+00 1.183028136141084818e+00
7.040499999999999536e-01 2.173479502954840825e+00 1.196804657686635132e+00
7.190199999999999925e-01 2.206703451877892075e+00 1.212478263457107630e+00
7.324699999999999545e-01 2.241768685723095622e+00 1.221493999994733848e+00
7.483400000000000052e-01 2.279365016667218580e+00 1.237702326545839338e+00
7.659399999999999542e-01 2.314850528592868883e+00 1.248671541730542511e+00
7.815199999999999925e-01 2.352366836628918545e+00 1.271023576281417933e+00
7.978600000000000136e-01 2.389692930305216567e+00 1.279984075476916061e+00
8.145599999999999508e-01 2.427456511240272174e+00 1.298623446465803744e+00
8.322000000000000508e-01 2.467647680499533980e+00 1.316858607140292570e+00
8.497099999999999653e-01 2.504171934840430769e+00 1.333614827684512782e+00
8.686199999999999477e-01 2.541688418880486466e+00 1.363256679656915660e+00
8.906199999999999672e-01 2.580785974060477272e+00 1.381623107084831936e+00
9.158199999999999674e-01 2.619068386436954388e+00 1.405593792135779507e+00
9.485000000000000098e-01 2.656299159299748691e+00 1.424288063095264123e+00
9.724099999999999966e-01 2.696514701516119938e+00 1.447120362173054398e+00
1.001049999999999995e+00 2.738790241371873879e+00 1.478454667015971946e+00
1.031609999999999916e+00 2.786463053128794165e+00 1.502717535266832494e+00
1.057940000000000103e+00 2.829878401705777424e+00 1.531592946187489535e+00
1.087089999999999890e+00 2.875874832986215157e+00 1.564129848058575689e+00
1.113920000000000021e+00 2.918084076975218988e+00 1.599722648986031004e+00
1.155299999999999994e+00 2.960487075404879320e+00 1.622413598843595484e+00
1.192309999999999981e+00 3.003249387240665147e+00 1.647460690576361353e+00
1.233589999999999964e+00 3.046147669303001848e+00 1.674356048561620014e+00
1.285809999999999897e+00 3.085416780462034492e+00 1.705582322253365923e+00
1.329329999999999901e+00 3.125921609375768462e+00 1.731128814460109355e+00
1.372810000000000086e+00 3.171837559709079102e+00 1.755213592628361630e+00
1.416260000000000074e+00 3.219206370217779778e+00 1.786151056467695009e+00
1.470560000000000089e+00 3.263760567474864871e+00 1.834917731122027940e+00
1.513279999999999959e+00 3.305539033229933921e+00 1.842524014416785372e+00
1.555949999999999944e+00 3.354570590576294808e+00 1.866911684848320263e+00
1.598570000000000046e+00 3.399600570359182949e+00 1.917428394606544684e+00
1.647680000000000033e+00 3.447211672765471135e+00 1.977060462093529924e+00
1.704339999999999966e+00 3.486195944606077290e+00 2.012331011286202287e+00
1.744720000000000049e+00 3.528247391987216375e+00 2.040257814747516996e+00
1.785039999999999960e+00 3.574429614874000904e+00 2.087053025033746234e+00
1.835660000000000069e+00 3.618753178290430306e+00 2.122600639138698231e+00
1.883199999999999985e+00 3.666668148513378966e+00 2.143815418286583618e+00
1.921240000000000059e+00 3.715187931398822752e+00 2.207050344397232688e+00
1.972590000000000066e+00 3.760850090708677929e+00 2.258643271344246362e+00
2.015509999999999913e+00 3.808598220980968563e+00 2.312701589666926516e+00
2.059919999999999973e+00 3.859815175013817434e+00 2.353005886486705389e+00
2.106030000000000069e+00 3.912044841726692646e+00 2.415086556937326989e+00
2.162949999999999928e+00 3.963073561444796056e+00 2.451319335435961921e+00
2.223939999999999806e+00 4.013538194851243190e+00 2.497325034276388855e+00
2.275850000000000151e+00 4.069206795176609326e+00 2.516454497258484135e+00
2.328219999999999956e+00 4.125928094910920940e+00 2.573220790011822690e+00
2.384430000000000049e+00 4.180105035052310569e+00 2.636066536397570381e+00
2.460160000000000124e+00 4.235474217188254009e+00 2.657809152981254641e+00
2.521590000000000220e+00 4.295278818364572260e+00 2.696422398725070391e+00
2.605020000000000113e+00 4.359985528486809869e+00 2.780882029707492098e+00
2.679180000000000117e+00 4.413332512565513177e+00 2.819161223463024779e+00
2.767490000000000006e+00 4.467544605595033858e+00 2.873585326946965335e+00
2.852899999999999991e+00 4.517995420845291932e+00 2.913774956378914371e+00
2.998860000000000081e+00 4.567241425663222110e+00 2.947780011073819928e+00
3.106040000000000134e+00 4.620781949570408997e+00 2.964994079797102167e+00
3.213179999999999925e+00 4.669664730363784599e+00 3.038064541850624245e+00
3.320279999999999898e+00 4.717973071487807424e+00 3.062844208683194402e+00
3.427340000000000053e+00 4.767492367905049377e+00 3.073248191871367219e+00
3.534370000000000012e+00 4.817547720865213989e+00 3.087467541670172455e+00
3.666939999999999866e+00 4.868597742869958722e+00 3.107597231612250432e+00
3.772250000000000103e+00 4.921153906967825620e+00 3.132805164513630558e+00
3.895319999999999894e+00 4.975206831341467684e+00 3.172593915556587874e+00
3.999140000000000139e+00 5.029546428401333813e+00 3.206184272154154691e+00
4.140559999999999796e+00 5.083068978143489680e+00 3.206358561332911528e+00
4.240910000000000402e+00 5.140666452338431114e+00 3.205671993342505743e+00
4.341160000000000352e+00 5.206208153103955460e+00 3.259704107803629736e+00
4.468740000000000379e+00 5.273012855268921051e+00 3.285167065354979599e+00
4.565290000000000070e+00 5.337292067746749247e+00 3.314986688720258812e+00
4.682100000000000151e+00 5.400319323783959291e+00 3.358560466463230032e+00
4.798770000000000202e+00 5.463474220913993484e+00 3.428806670207496410e+00
4.902569999999999872e+00 5.523111871960124653e+00 3.456443372916599088e+00
5.020150000000000112e+00 5.588124575427823260e+00 3.461634262137814666e+00
5.128049999999999997e+00 5.656630108014017111e+00 3.468163014541569833e+00
5.250619999999999621e+00 5.725263362863310057e+00 3.508289249604807036e+00
5.421240000000000059e+00 5.792680060862660518e+00 3.550421742380081014e+00
5.554829999999999934e+00 5.862598091952063051e+00 3.556674747046788543e+00
5.729460000000000441e+00 5.934939427956484437e+00 3.625267535344563807e+00
5.880300000000000082e+00 6.009186392982994285e+00 3.695870050510236648e+00
6.020809999999999995e+00 6.085457728596910698e+00 3.711546385632164657e+00
6.170679999999999943e+00 6.166577712944579126e+00 3.729452330881717792e+00
6.333619999999999806e+00 6.256241013249401739e+00 3.763459106347388783e+00
6.491159999999999819e+00 6.345641482714129644e+00 3.951330017280420659e+00
6.715939999999999799e+00 6.426053073031682494e+00 4.073075495681078628e+00
6.935810000000000031e+00 6.504483753476602459e+00 4.106899130429296996e+00
7.155700000000000394e+00 6.582018782023697057e+00 4.187954794939718006e+00
7.375600000000000378e+00 6.653500057386260380e+00 4.210352973618827654e+00
7.595519999999999605e+00 6.732261410613152641e+00 4.306184472378467021e+00
7.915449999999999875e+00 6.810890962678421090e+00 4.321030984351412307e+00
8.135389999999999233e+00 6.896197575105238897e+00 4.371799315975822608e+00
8.355339999999999989e+00 6.982795358572491118e+00 4.492525794777351145e+00
8.575300000000000367e+00 7.066473021787682107e+00 4.507986435383085855e+00
8.795279999999999987e+00 7.147963361038518926e+00 4.658963645044224222e+00
9.015259999999999607e+00 7.227344887517623384e+00 4.717354297287751130e+00
9.235239999999999227e+00 7.306120839779405074e+00 4.730052109802631577e+00
9.455239999999999867e+00 7.390274210910113162e+00 4.759707819661558759e+00
9.641450000000000742e+00 7.483954730702863323e+00 4.812965784247418277e+00
9.858670000000000044e+00 7.567161827348968473e+00 4.874340223251303783e+00
1.007362000000000002e+01 7.644877247459088920e+00 4.868795053673019346e+00
1.028834999999999944e+01 7.732589281427191708e+00 4.969798307490224332e+00
1.050306999999999924e+01 7.812733474940095846e+00 5.099433071892476299e+00
