#  # coordinates of each lumen, row represents the ID of the lumen 
#  # coordinates in this model do not change over time, empty lumen are included
#  # x   y
21.0	16.743157806499145
21.5	17.03183294109396
20.5	18.76388374866284
20.0	16.743157806499145
20.0	16.16580753730952
20.0	17.897858344878397
20.5	15.877132402714707
19.5	15.877132402714707
19.5	18.76388374866284
19.0	18.475208614068023
19.0	17.897858344878397
19.0	16.743157806499145
18.5	17.609183210283586
18.5	17.03183294109396
19.5	17.609183210283586
20.0	18.475208614068023
19.0	16.16580753730952
21.0	16.16580753730952
19.5	17.03183294109396
21.0	17.897858344878397
21.0	18.475208614068023
21.5	17.609183210283586
20.5	17.609183210283586
20.5	17.03183294109396
