# Time	a_winner	a_loosers
1.656619999999999981e+00 3.538486867539761604e+00 2.113688800804347512e+00
1.666269999999999918e+00 3.548613065907483488e+00 2.131397106898199834e+00
1.675920000000000076e+00 3.558426758871112927e+00 2.135056047317418493e+00
1.685559999999999947e+00 3.568629444849423571e+00 2.134072720462071526e+00
1.695210000000000106e+00 3.579340250923705113e+00 2.152504134364046529e+00
1.704849999999999977e+00 3.589217888827323399e+00 2.161502370559339248e+00
1.714490000000000069e+00 3.598833666304831258e+00 2.160585475297307045e+00
1.724129999999999940e+00 3.608724110883968716e+00 2.163519278784653554e+00
1.733770000000000033e+00 3.619081425903073690e+00 2.184214542629145495e+00
1.743409999999999904e+00 3.629205621385709346e+00 2.195943616756515837e+00
1.753049999999999997e+00 3.639936261835208242e+00 2.199465597043163800e+00
1.762690000000000090e+00 3.650606320993206921e+00 2.222623836959967569e+00
1.772319999999999895e+00 3.660900813841702295e+00 2.243236139165007081e+00
1.781959999999999988e+00 3.671000152624771307e+00 2.252448474695696756e+00
1.791590000000000016e+00 3.681447869035351150e+00 2.263909010201788252e+00
1.801220000000000043e+00 3.691603632414214520e+00 2.272738988111360658e+00
1.810850000000000071e+00 3.702006866039890376e+00 2.271684136888347805e+00
1.820470000000000033e+00 3.713147399416254935e+00 2.280652782494705821e+00
1.830100000000000060e+00 3.723541900685359618e+00 2.284086662473796547e+00
1.844500000000000028e+00 3.733785345990342730e+00 2.299936144961108209e+00
1.853930000000000078e+00 3.744253560406572756e+00 2.302509320289181094e+00
1.863359999999999905e+00 3.755078187208218399e+00 2.311277691390398736e+00
1.872789999999999955e+00 3.766054118082048596e+00 2.315770026205649312e+00
1.883399999999999963e+00 3.776312467703482056e+00 2.320396304831914502e+00
1.892779999999999907e+00 3.787106090732881292e+00 2.325060503290512948e+00
1.902160000000000073e+00 3.797150982374958961e+00 2.336888436113971679e+00
1.911529999999999951e+00 3.807873910522829419e+00 2.354428359216916178e+00
1.920889999999999986e+00 3.817548961642315941e+00 2.364342171756335986e+00
1.930250000000000021e+00 3.827171654072035523e+00 2.370528383271215844e+00
1.944390000000000063e+00 3.836626302464929417e+00 2.369570712674862634e+00
1.953389999999999960e+00 3.846618773331601293e+00 2.375643156791442223e+00
1.962380000000000013e+00 3.857301987802539855e+00 2.387649723273678859e+00
1.971360000000000001e+00 3.867048090244020297e+00 2.401887164137217923e+00
1.980320000000000080e+00 3.876097174613213792e+00 2.412409364027669589e+00
1.992289999999999894e+00 3.885159958707514960e+00 2.411470616709511461e+00
2.000859999999999861e+00 3.894311633388676253e+00 2.421153371984319236e+00
2.011680000000000135e+00 3.904339854511504004e+00 2.425714179698177819e+00
2.021720000000000184e+00 3.913528992971119891e+00 2.438714792091001282e+00
2.031179999999999986e+00 3.921508245937742831e+00 2.443848500784213673e+00
2.040900000000000158e+00 3.930024956744142095e+00 2.442934900954679023e+00
2.050279999999999880e+00 3.938250192423270235e+00 2.465991888428912926e+00
2.061049999999999827e+00 3.946066211161060711e+00 2.469549011833978014e+00
2.071499999999999897e+00 3.953665384629625024e+00 2.498960891863482470e+00
2.081399999999999917e+00 3.961387752779587768e+00 2.516295661053558952e+00
2.091299999999999937e+00 3.968810912597196427e+00 2.521250157542939796e+00
2.101189999999999891e+00 3.976456216056782900e+00 2.526058875110402280e+00
2.111079999999999846e+00 3.984428866578174855e+00 2.532278444385580141e+00
2.120979999999999865e+00 3.992245159770372531e+00 2.547984636501876565e+00
2.130869999999999820e+00 3.999462491848876589e+00 2.547216194080126339e+00
2.140769999999999840e+00 4.006808373367852560e+00 2.546433363537571104e+00
2.150659999999999794e+00 4.014303193263017100e+00 2.545633865820981168e+00
2.160559999999999814e+00 4.021982429339582943e+00 2.560916042813370375e+00
2.170450000000000212e+00 4.029945192220312222e+00 2.567210140601179802e+00
2.180340000000000167e+00 4.037942659657755229e+00 2.577375016061677293e+00
2.190240000000000187e+00 4.045796238527850974e+00 2.585682374032785003e+00
2.200130000000000141e+00 4.053966214622398034e+00 2.598125531357608597e+00
2.210020000000000095e+00 4.062259766951392237e+00 2.601514036110870620e+00
2.224660000000000082e+00 4.070557748785230245e+00 2.615151856894648130e+00
2.234500000000000153e+00 4.078802002981105623e+00 2.621006651728059023e+00
2.244330000000000158e+00 4.087091651326915986e+00 2.637171076179106510e+00
2.254169999999999785e+00 4.094945118750069391e+00 2.640637617703022855e+00
2.264009999999999856e+00 4.103004968634886396e+00 2.653950097842974198e+00
2.273849999999999927e+00 4.111129620814475416e+00 2.664386255941408432e+00
2.283689999999999998e+00 4.119670673132025840e+00 2.672565189670418118e+00
2.293520000000000003e+00 4.127377934444472096e+00 2.678903488218288498e+00
2.303360000000000074e+00 4.134984080600023759e+00 2.692627891917916738e+00
2.313190000000000079e+00 4.142426498294302206e+00 2.716887070316611918e+00
2.323030000000000150e+00 4.149833172439072904e+00 2.716028713472500300e+00
2.332870000000000221e+00 4.157060903760319448e+00 2.736663133130330827e+00
2.342699999999999783e+00 4.164309052836616232e+00 2.735819459174174018e+00
2.352539999999999853e+00 4.171841457892214500e+00 2.744546492026235018e+00
2.362369999999999859e+00 4.179429374453471624e+00 2.762196235866553717e+00
2.372199999999999864e+00 4.186911135426559127e+00 2.761317135708924120e+00
2.382039999999999935e+00 4.195291680411964208e+00 2.774568494393593099e+00
2.391869999999999941e+00 4.201829446199520035e+00 2.783293156784601319e+00
2.401699999999999946e+00 4.208484192750706399e+00 2.787846727078018727e+00
2.411540000000000017e+00 4.215273802243909351e+00 2.787047639482532979e+00
2.421370000000000022e+00 4.222227813840017774e+00 2.786228513455780487e+00
2.431200000000000028e+00 4.229422193686627196e+00 2.790828208095353702e+00
2.441030000000000033e+00 4.236714483041734702e+00 2.789964863647792281e+00
2.450860000000000039e+00 4.244355641304107252e+00 2.800806062946656461e+00
2.460690000000000044e+00 4.251534642043740320e+00 2.807127185158788230e+00
2.470520000000000049e+00 4.259061774406996292e+00 2.806210116844588764e+00
2.480350000000000055e+00 4.267040568216270202e+00 2.814763094852232861e+00
2.490180000000000060e+00 4.273918614618260392e+00 2.818728392982527087e+00
2.500010000000000066e+00 4.280824794690046176e+00 2.831447789176039453e+00
2.517990000000000173e+00 4.287994287524784731e+00 2.830575982321164918e+00
2.529269999999999907e+00 4.295704823580506648e+00 2.845622184435365298e+00
2.538920000000000066e+00 4.302677353028991902e+00 2.861762142346828242e+00
2.548560000000000159e+00 4.309513627174021977e+00 2.860933173030780541e+00
2.558209999999999873e+00 4.316586344135961539e+00 2.860073936414392115e+00
2.567849999999999966e+00 4.324010086737414049e+00 2.859169903741041630e+00
2.577500000000000124e+00 4.332074064023327509e+00 2.865059010090362346e+00
2.587140000000000217e+00 4.339413069707144466e+00 2.864157047270476930e+00
2.596789999999999932e+00 4.347255327126604563e+00 2.895709174275996389e+00
2.606430000000000025e+00 4.354078075346373922e+00 2.894884221393335899e+00
2.616070000000000118e+00 4.360714960854648936e+00 2.898691063703542348e+00
2.625710000000000210e+00 4.367215337336474157e+00 2.907372067388977133e+00
2.635349999999999859e+00 4.373357411165160080e+00 2.913388022878938166e+00
2.644989999999999952e+00 4.379667262958566454e+00 2.922053470023881605e+00
2.654619999999999980e+00 4.385515979919528462e+00 2.921324985132149443e+00
2.664260000000000073e+00 4.391698174340618266e+00 2.935870596348574946e+00
2.673890000000000100e+00 4.397576231700111471e+00 2.935136853994229522e+00
2.683530000000000193e+00 4.403557009582458548e+00 2.943383575815005315e+00
2.693160000000000220e+00 4.409286837862703479e+00 2.961381055361189674e+00
2.702789999999999804e+00 4.414674596372909932e+00 2.960705811159428880e+00
2.712419999999999831e+00 4.420135229591424242e+00 2.960020450921974966e+00
2.722049999999999859e+00 4.425678204643958225e+00 2.959323635835227506e+00
2.731679999999999886e+00 4.431317495867721945e+00 2.958613383952916287e+00
2.741299999999999848e+00 4.437076741572659522e+00 2.957886333033999726e+00
2.750929999999999875e+00 4.443008928387943257e+00 2.957134926524664031e+00
2.760549999999999837e+00 4.449303780199450387e+00 2.974810510091914662e+00
2.770169999999999799e+00 4.454955567238039649e+00 2.974096429394753827e+00
2.784590000000000121e+00 4.460781165967192763e+00 2.991395473141417405e+00
2.795329999999999870e+00 4.466608174005128440e+00 2.990654031656317713e+00
2.804720000000000102e+00 4.472691959780489945e+00 2.999296124936070118e+00
2.814099999999999824e+00 4.478470001510369336e+00 2.998560563895888542e+00
2.823479999999999990e+00 4.484540768607700123e+00 2.997782890750190887e+00
2.832850000000000090e+00 4.490464181425761758e+00 3.017210189481464244e+00
2.842220000000000191e+00 4.496209436072540200e+00 3.022185851167149551e+00
2.851579999999999782e+00 4.501565968670262485e+00 3.021508669865978103e+00
2.860939999999999817e+00 4.507001975277428407e+00 3.020820921904986633e+00
2.870299999999999851e+00 4.512527435139393361e+00 3.020121301866451891e+00
2.884440000000000115e+00 4.518155883838607778e+00 3.019408034970002763e+00
2.893429999999999946e+00 4.523906897151824147e+00 3.025385330653645788e+00
2.902410000000000156e+00 4.529813138245416759e+00 3.024630383730987138e+00
2.911379999999999857e+00 4.535939824018099031e+00 3.023845999182230404e+00
2.920339999999999936e+00 4.542560708708182737e+00 3.022995264012845240e+00
2.932290000000000063e+00 4.548612746666218065e+00 3.038765787093073989e+00
2.940850000000000186e+00 4.554652711234135509e+00 3.037991235281180202e+00
2.951659999999999950e+00 4.561169861520399493e+00 3.063536327509717605e+00
2.961679999999999868e+00 4.566716656417588283e+00 3.062818181958599340e+00
2.971099999999999852e+00 4.572584070955164393e+00 3.062055929741083204e+00
2.980760000000000076e+00 4.578273434950189014e+00 3.070182003097446710e+00
2.990470000000000184e+00 4.583984141382388522e+00 3.069449416376641704e+00
3.001219999999999999e+00 4.589824037901244935e+00 3.080526047164179992e+00
3.016169999999999796e+00 4.595012445191248851e+00 3.079848465802836444e+00
3.026060000000000194e+00 4.599975247516644217e+00 3.093536352252083788e+00
3.035950000000000149e+00 4.604607964083758276e+00 3.092922911936589525e+00
3.045840000000000103e+00 4.609318524454717902e+00 3.092297717857273476e+00
3.055740000000000123e+00 4.614105499573632585e+00 3.098556157836495295e+00
3.065630000000000077e+00 4.618879410007320274e+00 3.111128260173558147e+00
3.075520000000000032e+00 4.623813275094654784e+00 3.110462027519472539e+00
3.085409999999999986e+00 4.628654155201329168e+00 3.122865773575467685e+00
3.095299999999999940e+00 4.633065273654694671e+00 3.122287086401594802e+00
3.105189999999999895e+00 4.637506633444186122e+00 3.121703937112472627e+00
3.115089999999999915e+00 4.641989903480190804e+00 3.121114393618584781e+00
3.124979999999999869e+00 4.646466461031060646e+00 3.133009906690586543e+00
3.134869999999999823e+00 4.650965747462146638e+00 3.132417396567885426e+00
3.144760000000000222e+00 4.655493990959391759e+00 3.131820719988350099e+00
3.154650000000000176e+00 4.660052103885575114e+00 3.131219750026258630e+00
3.164540000000000131e+00 4.664641092149182100e+00 3.130614346708297635e+00
3.174430000000000085e+00 4.669262075894089037e+00 3.130004354069948924e+00
3.184320000000000039e+00 4.673916317269758203e+00 3.129389596174917632e+00
3.194209999999999994e+00 4.678605264017189569e+00 3.128769870869236858e+00
3.204099999999999948e+00 4.683330621896399926e+00 3.128144939328976637e+00
3.213989999999999903e+00 4.688094504060216217e+00 3.127514504489706582e+00
3.223879999999999857e+00 4.692899853555921652e+00 3.126878150067449180e+00
3.233769999999999811e+00 4.697753056679233374e+00 3.126234964733843213e+00
3.243660000000000210e+00 4.702639473236134293e+00 3.144825991398821685e+00
3.253540000000000099e+00 4.707560162990915842e+00 3.144171938103196062e+00
3.263430000000000053e+00 4.712533200550424795e+00 3.143510436131862651e+00
3.273320000000000007e+00 4.717565322436920283e+00 3.142840517410266266e+00
3.283209999999999962e+00 4.722666606579081439e+00 3.151498665334141247e+00
3.293099999999999916e+00 4.727812136312165237e+00 3.150810223509209251e+00
3.302979999999999805e+00 4.733044496315202743e+00 3.150109161720931805e+00
3.312870000000000203e+00 4.738397621406414295e+00 3.149390122213592935e+00
3.322760000000000158e+00 4.744020894708072866e+00 3.161639962348357979e+00
3.332650000000000112e+00 4.749209220796728026e+00 3.160953160928690941e+00
3.342530000000000001e+00 4.754499183924104422e+00 3.160253772214121959e+00
3.352419999999999956e+00 4.759933614381015587e+00 3.159536984479040189e+00
3.362299999999999844e+00 4.765652838944547831e+00 3.158787144105244415e+00
3.372189999999999799e+00 4.771248869837134698e+00 3.163354991098371816e+00
3.382080000000000197e+00 4.776162111095330509e+00 3.162690115319279460e+00
3.391960000000000086e+00 4.781133166705259896e+00 3.175513576314007658e+00
3.401850000000000041e+00 4.786185705211776664e+00 3.174822812584164211e+00
3.411729999999999929e+00 4.791272151432505844e+00 3.179995412438687552e+00
3.421619999999999884e+00 4.796314556478199265e+00 3.179300353377700006e+00
3.431500000000000217e+00 4.801431459808856772e+00 3.178594295933515834e+00
3.441390000000000171e+00 4.806656174957035788e+00 3.177872465077036246e+00
3.451270000000000060e+00 4.811989149430929480e+00 3.186474524793877272e+00
3.461160000000000014e+00 4.817124692591258750e+00 3.195064868839625039e+00
3.471039999999999903e+00 4.822222869434775738e+00 3.194356846683854556e+00
3.480919999999999792e+00 4.827388579951033876e+00 3.193638730241065815e+00
3.490810000000000191e+00 4.832633347717466776e+00 3.192908850948052546e+00
3.500690000000000079e+00 4.837977162726233793e+00 3.192164326620984927e+00
3.510569999999999968e+00 4.843468557137237340e+00 3.191398191396197515e+00
3.520449999999999857e+00 4.849110400894854678e+00 3.200497603471000652e+00
3.530339999999999812e+00 4.854470104074242620e+00 3.199747760761302295e+00
3.540220000000000145e+00 4.860077126902674571e+00 3.198961906354760298e+00
3.550100000000000033e+00 4.865406520774572918e+00 3.206802625490290826e+00
3.564709999999999823e+00 4.870646582714590167e+00 3.219200715565112336e+00
3.574530000000000207e+00 4.875948685087337253e+00 3.218453390050837193e+00
3.584360000000000213e+00 4.881357886725247397e+00 3.217689667842597689e+00
3.594180000000000152e+00 4.886910408921081306e+00 3.216904010462839469e+00
3.604000000000000092e+00 4.892691734378820101e+00 3.225529539475069374e+00
3.613820000000000032e+00 4.899099273365197682e+00 3.245472229447182055e+00
3.623639999999999972e+00 4.904233057427945575e+00 3.244744452839440019e+00
3.633469999999999978e+00 4.909624036698288840e+00 3.243979336358873589e+00
3.643289999999999917e+00 4.914649438235806578e+00 3.251798427958257687e+00
3.653109999999999857e+00 4.919466718860728172e+00 3.251112384631931640e+00
3.662929999999999797e+00 4.924310725918046749e+00 3.263177123973469929e+00
3.672750000000000181e+00 4.929183802057996111e+00 3.262481494453697728e+00
3.682560000000000056e+00 4.934100882168047875e+00 3.261778837212696125e+00
3.692379999999999995e+00 4.939065279681397413e+00 3.261068610440719162e+00
3.702199999999999935e+00 4.944081366747575146e+00 3.260350096625740157e+00
3.712019999999999875e+00 4.949155360122454717e+00 3.259622271622715228e+00
3.721839999999999815e+00 4.954297207931110947e+00 3.258883490142198358e+00
3.731650000000000134e+00 4.959526567721312951e+00 3.258130489140402375e+00
3.741470000000000073e+00 4.964908954207144731e+00 3.257352361634873628e+00
3.751279999999999948e+00 4.970225760621922007e+00 3.268484025503232360e+00
3.761099999999999888e+00 4.975319641954357941e+00 3.267751902648922790e+00
3.770910000000000206e+00 4.980468035336612864e+00 3.267011119459212409e+00
3.780730000000000146e+00 4.985675367327436547e+00 3.275304687811238846e+00
3.790540000000000020e+00 4.990949047524000370e+00 3.274541012808855456e+00
3.800359999999999960e+00 4.996297191009425376e+00 3.273765471479502587e+00
3.810169999999999835e+00 5.001731396756633252e+00 3.272976175880981664e+00
3.829619999999999802e+00 5.007270693901785030e+00 3.272170009584099315e+00
3.839240000000000208e+00 5.012954826455856328e+00 3.271340417634192477e+00
3.848850000000000104e+00 5.018967552874260107e+00 3.270456862406666332e+00
3.858470000000000066e+00 5.024520649943194250e+00 3.282002286917422129e+00
3.868090000000000028e+00 5.029993235691453179e+00 3.281209336647011199e+00
3.877699999999999925e+00 5.035573078892457310e+00 3.289667874163816563e+00
3.887319999999999887e+00 5.041259295499108006e+00 3.288839651353113069e+00
