# Delta	Pbty
-1.111111111111110772e-01 1.000000000000000000e+00
-5.263157894736841119e-02 9.969999999999999973e-01
-4.166666666666665048e-02 9.866000000000000325e-01
-3.626943005181344076e-02 9.781999999999999584e-01
-3.092783505154642065e-02 9.487999999999999767e-01
-2.564102564102566442e-02 9.050000000000000266e-01
-1.522842639593910072e-02 7.665999999999999481e-01
0.000000000000000000e+00 4.577999999999999847e-01
9.900990099009909784e-03 2.477999999999999925e-01
2.439024390243904952e-02 6.560000000000000553e-02
3.381642512077297213e-02 2.019999999999999921e-02
3.846153846153849143e-02 1.020000000000000073e-02
4.761904761904765804e-02 2.799999999999999972e-03
6.976744186046507368e-02 0.000000000000000000e+00
9.090909090909088386e-02 0.000000000000000000e+00
1.111111111111111049e-01 0.000000000000000000e+00
1.304347826086956763e-01 0.000000000000000000e+00
