# Delta	Pbty
-1.764705882352941568e-01 1.000000000000000000e+00
-1.111111111111110772e-01 9.996000000000000441e-01
-9.890109890109893831e-02 9.953999999999999515e-01
-8.695652173913046012e-02 9.781999999999999584e-01
-7.526881720430109168e-02 8.895999999999999464e-01
-6.382978723404254817e-02 7.119999999999999662e-01
-5.263157894736841119e-02 4.802000000000000157e-01
-4.166666666666665048e-02 2.437999999999999889e-01
-3.092783505154642065e-02 1.019999999999999934e-01
-2.040816326530614164e-02 3.119999999999999857e-02
-1.010101010101011054e-02 7.400000000000000328e-03
0.000000000000000000e+00 2.399999999999999790e-03
4.761904761904765804e-02 0.000000000000000000e+00
