# # triangle with lumen in the center
#  # containes the connections between lumen, in the structure of a graph 
#  # lumen have an ID starting from 0, sorted such that, smallest on top and ID1 < ID2 
#  # ID1 ID2 distance
0	1	0.5773502691896267
0	17	0.5773502691896262
0	23	0.5773502691896267
1	21	0.5773502691896262
2	15	0.5773502691896267
2	20	0.5773502691896267
3	4	0.5773502691896262
3	18	0.5773502691896267
3	23	0.5773502691896267
4	6	0.577350269189625
4	7	0.577350269189625
5	14	0.577350269189625
5	15	0.5773502691896262
5	22	0.577350269189625
6	17	0.577350269189625
7	16	0.577350269189625
8	9	0.5773502691896267
8	15	0.5773502691896267
9	10	0.5773502691896262
10	12	0.577350269189625
10	14	0.577350269189625
11	13	0.5773502691896267
11	16	0.5773502691896262
11	18	0.5773502691896267
12	13	0.5773502691896262
14	18	0.5773502691896262
19	20	0.5773502691896262
19	21	0.577350269189625
19	22	0.577350269189625
22	23	0.5773502691896262
