-1.111111111111110772e-01 0.000000000000000000e+00
-8.108108108108108558e-02 1.000000000000000021e-03
-5.263157894736841119e-02 2.400000000000000050e-02
-4.166666666666665048e-02 5.299999999999999850e-02
-3.092783505154642065e-02 1.100000000000000006e-01
-2.040816326530614164e-02 1.670000000000000095e-01
-1.010101010101011054e-02 2.929999999999999827e-01
0.000000000000000000e+00 4.430000000000000049e-01
9.900990099009909784e-03 6.019999999999999796e-01
1.960784313725491904e-02 7.459999999999999964e-01
2.912621359223303494e-02 8.750000000000000000e-01
4.761904761904765804e-02 9.679999999999999716e-01
6.976744186046507368e-02 9.979999999999999982e-01
9.090909090909088386e-02 1.000000000000000000e+00
